deposit_manifest_name,copies_found,bytes,identity_basis,paths
240305_N2_day5Adult_phalloidin_1.lif,1,9935359270,filename (deposit manifest) -> filename on disk,\\SLB122E-01\Vidal-Gadea_lab\Adina\240305_N2_day5Adult_phalloidin_1.lif
240305_N2_day5Adult_phalloidin_2.lif,1,11297314936,filename (deposit manifest) -> filename on disk,\\SLB122E-01\Vidal-Gadea_lab\Adina\240305_N2_day5Adult_phalloidin_2.lif
240305_N2_day5Adult_phalloidin_3.lif,1,7514136735,filename (deposit manifest) -> filename on disk,\\SLB122E-01\Vidal-Gadea_lab\Adina\240305_N2_day5Adult_phalloidin_3.lif
240306_N2_day5Adult_phalloidin.lif,1,11176293402,filename (deposit manifest) -> filename on disk,\\SLB122E-01\Vidal-Gadea_lab\Adina\240306_N2_day5Adult_phalloidin.lif
240222_N2_swim_F2_phalloidin_WGA_1.lif,2,12270350547,filename (deposit manifest) -> filename on disk,L:\02_Duchenne Muscular Dystrophy\Sabrina\240222_Swim F2\240222_N2_swim_F2_phalloidin_WGA_1.lif | \\SLB122E-01\Vidal-Gadea_lab\Adina\240222_N2_swim_F2_phalloidin_WGA_1.lif
240222_N2_swim_F2_phalloidin_WGA_2.lif,2,12926249641,filename (deposit manifest) -> filename on disk,L:\02_Duchenne Muscular Dystrophy\Sabrina\240222_Swim F2\240222_N2_swim_F2_phalloidin_WGA_2.lif | \\SLB122E-01\Vidal-Gadea_lab\Adina\240222_N2_swim_F2_phalloidin_WGA_2.lif
240222_N2_swim_F2_phalloidin_WGA_3.lif,2,8722516651,filename (deposit manifest) -> filename on disk,L:\02_Duchenne Muscular Dystrophy\Sabrina\240222_Swim F2\240222_N2_swim_F2_phalloidin_WGA_3.lif | \\SLB122E-01\Vidal-Gadea_lab\Adina\240222_N2_swim_F2_phalloidin_WGA_3.lif
240220_N2_swim_F2_phalloidin_WGA.lif,2,12125793773,filename (deposit manifest) -> filename on disk,L:\02_Duchenne Muscular Dystrophy\Sabrina\240220_Swim F2\240220_N2_swim_F2_phalloidin_WGA.lif | \\SLB122E-01\Vidal-Gadea_lab\Adina\240220_N2_swim_F2_phalloidin_WGA.lif
240220_N2_swim_F2_phalloidin_WGA_2.lif,2,4699705667,filename (deposit manifest) -> filename on disk,L:\02_Duchenne Muscular Dystrophy\Sabrina\240220_Swim F2\240220_N2_swim_F2_phalloidin_WGA_2.lif | \\SLB122E-01\Vidal-Gadea_lab\Adina\240220_N2_swim_F2_phalloidin_WGA_2.lif
240204_N2_crawl_phalloidin and WGA.lif,1,856894361,filename (deposit manifest) -> filename on disk,\\SLB122E-01\Vidal-Gadea_lab\Adina\240204_N2_crawl_phalloidin and WGA.lif
