frame,time_s,soma_x,soma_y,soma_peak,neuron_raw,neuron_bg,neuron_corrected,body_centroid_x,body_centroid_y,body_area,body_length,nose_x,nose_y,anat_angle,move_angle,length_dev_pct,area_dev_pct,provenance,needs_help,neuron_dFF,anat_vs_field,anat_vs_move,move_vs_field
1,0.0,1579,1286,62.0,34.518,32.572,1.946,1174.36,1214.13,157697.0,1229.698,1656.0,1176.0,34.992,nan,0.0,0.0,measured,0,-0.002,34.992,nan,nan
2,0.033,1579,1286,66.0,34.523,32.572,1.951,1176.052,1214.193,157880.0,1229.354,1656.0,1176.0,34.992,nan,0.028,0.116,measured,0,0.0,34.992,nan,nan
3,0.067,1579,1286,66.0,34.622,32.72,1.901,1178.682,1215.023,156334.0,1230.526,1656.0,1176.0,34.992,nan,0.067,0.864,measured,0,-0.025,34.992,nan,nan
4,0.1,1526,1241,67.0,53.451,37.0,16.451,1179.827,1216.114,153349.0,1238.183,1669.0,1209.0,77.386,310.333,0.69,2.757,measured,0,7.434,77.386,127.053,310.333
5,0.133,1530,1243,68.0,54.238,38.401,15.837,1178.947,1218.368,150123.0,1252.082,1670.0,1209.0,76.35,116.565,1.82,4.803,measured,0,7.12,76.35,319.785,116.565
6,0.167,1538,1246,74.0,56.062,36.674,19.388,1181.614,1221.8,145009.0,1260.869,1671.0,1208.0,74.055,110.556,2.535,8.046,measured,0,8.94,74.055,323.499,110.556
7,0.2,1541,1243,88.0,56.622,36.197,20.424,1127.487,1215.089,157493.0,1542.876,1669.0,1209.0,75.124,45.0,25.468,0.129,help,1,9.472,75.124,30.124,45.0
8,0.233,1544,1244,93.0,56.062,36.842,19.22,1175.618,1227.13,138298.0,1288.555,1679.0,1206.0,74.279,108.435,4.786,12.301,measured,0,8.854,74.279,325.844,108.435
9,0.267,1548,1241,97.0,56.207,35.164,21.043,1179.103,1228.83,138387.0,1285.97,1681.0,1206.0,75.256,53.13,4.576,12.245,measured,0,9.789,75.256,22.126,53.13
10,0.3,1553,1236,80.0,57.876,35.707,22.168,1188.51,1233.381,138533.0,1252.999,1683.0,1205.0,76.588,45.0,1.895,12.152,measured,0,10.366,76.588,31.588,45.0
11,0.333,1563,1229,80.0,58.42,35.803,22.617,1213.447,1235.087,139974.0,1309.384,1745.0,1182.0,75.52,55.008,6.48,11.239,measured,0,10.596,75.52,20.512,55.008
12,0.367,1574,1222,80.0,58.534,35.398,23.136,1219.93,1239.306,133759.0,1294.296,1746.0,1181.0,76.592,57.529,5.253,15.18,measured,0,10.862,76.592,19.064,57.529
13,0.4,1586,1216,80.0,59.725,34.868,24.857,1222.237,1239.96,129914.0,1269.869,1742.0,1203.0,85.236,63.435,3.267,17.618,measured,0,11.744,85.236,21.801,63.435
14,0.433,1595,1212,83.0,61.782,35.938,25.845,1231.75,1241.0,126760.0,1279.354,1742.0,1203.0,86.496,66.038,4.038,19.618,measured,0,12.251,86.496,20.459,66.038
15,0.467,1607,1209,89.0,62.642,34.997,27.646,1241.765,1242.496,122877.0,1264.769,1742.0,1204.0,87.879,75.964,2.852,22.08,measured,0,13.174,87.879,11.915,75.964
16,0.5,1617,1206,93.0,63.192,34.444,28.748,1261.978,1242.26,115758.0,1274.497,1732.0,1210.0,91.992,73.301,3.643,26.595,measured,0,13.739,91.992,18.691,73.301
17,0.533,1626,1204,92.0,63.694,34.345,29.349,1265.847,1238.882,111062.0,1271.639,1728.0,1237.0,107.928,77.471,3.411,29.573,measured,0,14.047,107.928,30.457,77.471
18,0.567,1637,1202,93.0,63.098,33.836,29.263,1266.1,1236.813,110319.0,1276.982,1731.0,1240.0,112.011,79.695,3.845,30.044,measured,0,14.003,112.011,32.316,79.695
19,0.6,1647,1202,92.0,62.99,33.602,29.388,1258.345,1237.692,115691.0,1281.668,1736.0,1243.0,114.734,90.0,4.226,26.637,measured,0,14.067,114.734,24.734,90.0
20,0.633,1656,1200,92.0,63.834,34.359,29.476,1256.144,1235.78,122393.0,1329.354,1763.0,1245.0,112.81,77.471,8.104,22.387,measured,0,14.112,112.81,35.339,77.471
