path,source,also_held_on,file_gb,series_index,series_name,derived,shape,n_x,n_y,n_z,n_t,n_channels,lut_names,bit_depth,fps,duration_s,um_per_px,um_per_z,field_um,z_span_um,calibrated,strain,person,year,error
L:\02_Duchenne Muscular Dystrophy\Adina\240126_AVG60_tissue dissociation.lif,L_drive,,1.807,0,Series001,,z-stack,2048,794,51,1,3,Green|Red|Gray,8,,,0.0901,0.3567,184.6,17.8,yes,AVG60,Fazyl A,2024,
L:\02_Duchenne Muscular Dystrophy\Adina\240126_AVG60_tissue dissociation.lif,L_drive,,1.807,1,Series003,,z-stack,2048,810,63,1,3,Green|Red|Gray,8,,,0.0901,0.3567,184.6,22.1,yes,AVG60,Fazyl A,2024,
L:\02_Duchenne Muscular Dystrophy\Adina\240126_AVG60_tissue dissociation.lif,L_drive,,1.807,2,Series004,,z-stack,2048,505,40,1,3,Green|Red|Gray,8,,,0.0899,0.3567,184.0,13.9,yes,AVG60,Fazyl A,2024,
L:\02_Duchenne Muscular Dystrophy\Adina\240126_AVG60_tissue dissociation.lif,L_drive,,1.807,3,Image005,,single plane,2048,764,1,1,3,Green|Red|Gray,8,,,0.0899,,184.0,,yes,AVG60,Fazyl A,2024,
L:\02_Duchenne Muscular Dystrophy\Adina\240126_AVG60_tissue dissociation.lif,L_drive,,1.807,4,Series006,,z-stack,2048,997,62,1,3,Green|Red|Gray,8,,,0.0899,0.3567,184.0,21.8,yes,AVG60,Fazyl A,2024,
L:\02_Duchenne Muscular Dystrophy\Adina\240126_AVG60_tissue dissociation.lif,L_drive,,1.807,5,Series007,,z-stack,2048,865,63,1,3,Green|Red|Gray,8,,,0.0899,0.3567,184.0,22.1,yes,AVG60,Fazyl A,2024,
L:\02_Duchenne Muscular Dystrophy\Adina\240126_AVG60_tissue dissociation.lif,L_drive,,1.807,6,Series008,,z-stack,2048,1078,47,1,3,Green|Red|Gray,8,,,0.0899,0.3567,184.0,16.4,yes,AVG60,Fazyl A,2024,
L:\02_Duchenne Muscular Dystrophy\Adina\240126_AVG60_tissue dissociation.lif,L_drive,,1.807,7,Series006_SubVolume001,,z-stack,2048,997,17,1,2,Green|Red,8,,,0.0899,0.3567,184.0,5.7,yes,AVG60,Fazyl A,2024,
L:\02_Duchenne Muscular Dystrophy\Adina\240126_AVG60_tissue dissociation.lif,L_drive,,1.807,8,Series006_SubVolume001Snapshot1,,single plane,1832,892,1,1,3,||,8,,,,,,,NO,AVG60,Fazyl A,2024,
L:\02_Duchenne Muscular Dystrophy\Adina\240126_AVG60_tissue dissociation.lif,L_drive,,1.807,9,Series006_SubVolume001Snapshot1Snapshot1,,single plane,3281,1598,1,1,3,||,8,,,,,,,NO,AVG60,Fazyl A,2024,
L:\02_Duchenne Muscular Dystrophy\Adina\241225_AVG63_day1Adult_head+mid.lif,L_drive,scope_PC,5.164,0,W1_Image001_10x,,single plane,2048,2048,1,1,1,Gray,8,,,0.5679,,1163.1,,yes,AVG63,Fazyl A,2024,
L:\02_Duchenne Muscular Dystrophy\Adina\241225_AVG63_day1Adult_head+mid.lif,L_drive,scope_PC,5.164,1,W2_Image002,,single plane,2048,2048,1,1,1,Gray,8,,,0.5679,,1163.1,,yes,AVG63,Fazyl A,2024,
L:\02_Duchenne Muscular Dystrophy\Adina\241225_AVG63_day1Adult_head+mid.lif,L_drive,scope_PC,5.164,2,W3_Image003,,single plane,2048,2048,1,1,1,Gray,8,,,0.5679,,1163.1,,yes,AVG63,Fazyl A,2024,
L:\02_Duchenne Muscular Dystrophy\Adina\241225_AVG63_day1Adult_head+mid.lif,L_drive,scope_PC,5.164,3,W4_Image004,,single plane,2048,2048,1,1,1,Gray,8,,,0.5679,,1163.1,,yes,AVG63,Fazyl A,2024,
L:\02_Duchenne Muscular Dystrophy\Adina\241225_AVG63_day1Adult_head+mid.lif,L_drive,scope_PC,5.164,4,W5_Image005,,single plane,2048,2048,1,1,1,Gray,8,,,0.5679,,1163.1,,yes,AVG63,Fazyl A,2024,
L:\02_Duchenne Muscular Dystrophy\Adina\241225_AVG63_day1Adult_head+mid.lif,L_drive,scope_PC,5.164,5,W1_Series006_63x,,z-stack,2048,773,115,1,2,Green|Gray,8,,,0.0901,0.3557,184.6,40.6,yes,AVG63,Fazyl A,2024,
