path,ext,size_bytes,mtime
\\SLB122E-01\Vidal-Gadea_lab\190711cray.lif,.lif,1023146613,2019-07-11
\\SLB122E-01\Vidal-Gadea_lab\210607 trp1.lif,.lif,713500741,2021-06-07
\\SLB122E-01\Vidal-Gadea_lab\'Tope\210721.lif,.lif,1081378453,2021-07-21
\\SLB122E-01\Vidal-Gadea_lab\'Tope\62521 F49.lif,.lif,159694031,2021-06-25
\\SLB122E-01\Vidal-Gadea_lab\'Tope\Trp-1-GFP worm 1.lif,.lif,908619439,2021-08-02
\\SLB122E-01\Vidal-Gadea_lab\'Tope\2-10-25 AVG83\AVG83 mCerulean GFP mCherry.lif,.lif,173977113,2025-02-10
\\SLB122E-01\Vidal-Gadea_lab\'Tope\7-30-21\Sdhb-1.lif,.lif,351648681,2021-07-30
\\SLB122E-01\Vidal-Gadea_lab\'Tope\8-11-21\sdhb1..gfp.lif,.lif,1130635297,2021-08-11
\\SLB122E-01\Vidal-Gadea_lab\'Tope\8-11-21\Trp1..gfp.lif,.lif,773336295,2021-08-11
\\SLB122E-01\Vidal-Gadea_lab\'Tope\Freez-crack trial 12-6\Freez-crack.lif,.lif,7782827,2021-12-06
\\SLB122E-01\Vidal-Gadea_lab\Aalimah\240921_ATU2301_GFP_10x_Aalimah.lif,.lif,1533673585,2024-11-22
\\SLB122E-01\Vidal-Gadea_lab\Aalimah\Aalmah  Earth gen 2.lif,.lif,2015,2024-10-03
\\SLB122E-01\Vidal-Gadea_lab\Aalimah\Practice.lif,.lif,350236163,2024-12-02
\\SLB122E-01\Vidal-Gadea_lab\Aalimah\Project.lif,.lif,1967,2024-10-03
\\SLB122E-01\Vidal-Gadea_lab\Adina\230217_AH-E_swim.lif,.lif,16534218533,2023-02-17
\\SLB122E-01\Vidal-Gadea_lab\Adina\230218_AH-E.lif,.lif,2214886573,2023-02-18
\\SLB122E-01\Vidal-Gadea_lab\Adina\230218_AH-E_swim.lif,.lif,5569366839,2023-02-18
\\SLB122E-01\Vidal-Gadea_lab\Adina\230221_AVG60.lif,.lif,2519355305,2023-02-21
\\SLB122E-01\Vidal-Gadea_lab\Adina\230221_AVG60_swim.lif,.lif,5542229835,2023-02-21
\\SLB122E-01\Vidal-Gadea_lab\Adina\230224_AVG60_swim.lif,.lif,3758092753,2023-02-24
\\SLB122E-01\Vidal-Gadea_lab\Adina\230225_AVG60_swim.lif,.lif,2062256907,2023-02-25
\\SLB122E-01\Vidal-Gadea_lab\Adina\230227_AVG60.lif,.lif,3179339231,2023-02-27
\\SLB122E-01\Vidal-Gadea_lab\Adina\230227_AVG60_swim.lif,.lif,804731431,2023-02-27
\\SLB122E-01\Vidal-Gadea_lab\Adina\230302_AVG60.lif,.lif,2644885497,2023-03-02
\\SLB122E-01\Vidal-Gadea_lab\Adina\230302_AVG60_swim_day2_neurons.lif,.lif,464210779,2023-03-02
\\SLB122E-01\Vidal-Gadea_lab\Adina\230303_AVG60_swim.lif,.lif,1145178421,2023-03-03
\\SLB122E-01\Vidal-Gadea_lab\Adina\230407_AVG60_larva burrow.lif,.lif,1421079895,2023-04-07
\\SLB122E-01\Vidal-Gadea_lab\Adina\230415_AVG60_larva burrow.lif,.lif,4474512137,2023-04-15
\\SLB122E-01\Vidal-Gadea_lab\Adina\230428_AVG60_burrow.lif,.lif,12344970381,2023-04-28
\\SLB122E-01\Vidal-Gadea_lab\Adina\230504_AVG60_burrow6days_proper.lif,.lif,2504992941,2023-05-04
\\SLB122E-01\Vidal-Gadea_lab\Adina\230505_AVG44_swim_SK.lif,.lif,2222198273,2023-05-05
\\SLB122E-01\Vidal-Gadea_lab\Adina\230507_N2_autofluor.lif,.lif,431422945,2023-05-07
\\SLB122E-01\Vidal-Gadea_lab\Adina\230523_AVG60_swim.lif,.lif,6058579387,2023-05-23
\\SLB122E-01\Vidal-Gadea_lab\Adina\230526_AVG60_tail_crawl.lif,.lif,513224747,2023-05-26
