strain,genotype,gene_name
AA776,cyp-44A1(ok216) II.,
AML1,zfls18: zfls42,
AML14,wtfEx4,
AQ866,ser-4(ok512) III.,
AVG09,Ppezo-1::GCaMP6s + myo-3::mCherry,
AVG1,"uyEx1[Ppam-1a::GFP, Pmyo-2::mCherry]",
AVG10,Ppezo-1S::GFP + myo-3::mCherry,
AVG11,Ppezo-1L::GFP + coel::GFP,
AVG12,pdysL::GFP + coel::GFP,
AVG13,uryEx13(Pnmgp-1::GFP::unc-54 3'UTR),
AVG14,uryEx14(Pnmgp-1::GFP::unc-54 3'UTR),
AVG15,uryEx15(Pnmgp-1::GFP::unc-54 3'UTR),
AVG16,odr-10::GFP + lin-15(+)] II. uIs60 [unc-119p::YFP + unc-119p::sid-1],
AVG17,odr-10::GFP + lin-15(+)] II. uIs60 [unc-119p::YFP + unc-119p::sid-1],
AVG18,kyIs156 [str-1p::odr-10(cDNA)::GFP]. uIs60 [unc-119p::YFP + unc-119p::sid-1],
AVG19,kyIs156 [str-1p::odr-10(cDNA)::GFP]. uIs60 [unc-119p::YFP + unc-119p::sid-1],
AVG2,"uyEx2[Ppam-1b::GFP, Pmyo-2::mCherry]",
AVG20,quEx128 [npr-9::GFP + rol-6(su1006)]. uIs60 [unc-119p::YFP + unc-119p::sid-1],
AVG21,quEx128 [npr-9::GFP + rol-6(su1006)]. uIs60 [unc-119p::YFP + unc-119p::sid-1],
AVG22,pezoLp::GFP,
AVG23,pezoKp::GFP,
AVG24,F16F9.3::GCaMP6s,
AVG25,F16F9.3::GCaMP6s,
AVG26,F16F9.3::GCaMP6s,
AVG27,"hDMD_Ce R04B5.5::hDMD::unc-54, dys-1(eg33), myo-3::GCaMP2",
AVG28,,
AVG29,,
AVG3,"uyEx1[Ppam-1a1::GFP, Pmyo-2::mCherry]",
BA1,,
BA24,fer-1(hc24) I.,
BC12384,,
BC442,,
BZ142,,
BZ33,dys-1(eg33) I.,
BZ873,,
CB1033,,
CB1091,,
CB1112,cat-2(e1112) II.,
CB1124,,
CB1126,,
CB1253,,
CB1370,daf-2(e1370) III,
CB3199,,
CB3284,mec-12(e1605),
CB3323,,
CB382,unc-49(e382)III,
CB4856,Hawaii wild isolate.,
CB611,,
CB7272,ccIs4251 I; mIs12 II; dpy-17(e164) III; frIs7 IV; uIs69 V.,
CB928,unc-31(e928) IV.,
CB929,,
CF1038,daf-16(mu86) I.,
CX10,,
CX3260,,
CX4,odr-7(ky4) X.,
CX4148,npr-1(ky13),
CZ11771,,
CZ13896,juls319,
CZ3715,,
DA1814,,
DA2100,,
DA2109,,
DCR3055,,
DR25,,
DR35,Unc-60(m35) V.,
ED3024,,
FG58,dop-4(tm1392) X.,
FH85,unc-9(ec27) X,
FK129,,
FX021046,,
FX02407,,
HBR4,goels3,
HH30,unc-7(hs9) X.,
HKK22,myo-3::GCaMP2,
HKK5,dys-1(eg33) I. myo-3::GCaMP2,
HT1890,daf-16(mgDf50) I; daf-2(e1370) III,
HT1980?,,
IK130,pkc-1(nj3) V.,
IK397,,
IK427,gcy-23(nj37) IV.,
IK429,gcy-18(nj38) IV,
JC2159,bbs-8(ut306) V.,
JK4143,qIs57 II; rde-1(ne219) V; qIs140,
JN1713,pels1713,
JPS13,,
JPS215,,
JPS243,,
JPS245,,
JPS253,,
JPS257,,
JPS258,,
JPS26,,
JPS264,,
JPS271,,
JPS278,,
JPS282,,
JPS283,,
JPS284,,
JPS285,,
JPS294,,
JPS295,,
JPS297,,
JPS316,vxEx316[Pgcy-8::GCaMP3::unc-54UTR; Pmyo-3::mCherry::unc-54UTR]#4,
JPS331,,
JPS343,,
JPS344,,
JPS345,,
JPS36,,
JPS420,,
JPS428,,
JPS459,,
JPS460,,
JPS472,,
JPS473,,
JPS474,,
JPS479,,
JPS48,,
JPS482,,
JPS488,,
JPS493,,
JPS495,,
JPS496,,
JPS512,,
JPS513,,
JPS514,,
JPS515,,
JPS516,,
JPS517,,
JPS518,,
JPS523,,
JPS524,,
JPS526,,
JPS528,,
JPS529,,
JPS54,,
JPS540,,
JPS543,,
JPS544,,
JPS545,,
JPS546,,
JPS55,,
JPS550,,
JPS57,,
JPS570,,
JPS571,,
JPS572,,
JPS573,,
JPS574,,
JPS575,,
JPS576,,
JPS577,,
JPS578,,
JPS579,,
JPS58,,
JPS580,,
JPS581,,
JPS584,,
JPS59,,
JPS60,,
JPS61,,
JPS7,,
JPS8,,
JT73,itr-1(sa73) IV.,
JU1615,,
JU258,wild isolate,
KG1180,,
LC35,,
LKC34,,
LS292,dys-1 (cx18),
LX636,,
LX645,,
LX702,,
LX705,,
LX959,,
MM1968,,
MOS88,him-5(e1490) V; etyIs1.,
MQD812,daf-16(mu86) I; daf-2(e1370) III; hqIs180.,
MT1072,,
MT13113,,
MT13952,,
MT14678,,
MT14680,,
MT14984,tph-1(n4622) II.,
MT4810,,
MT6308,,
MT7488,,
MT8943,,
MT9455,,
MT9668,,
MX52,bbs-8(nx77) V.,
N2,C. elegans wild isolate.,
NK640,rrf-3(pk1426) II; unc-119(ed4) III; rde-1(ne219) V; qyIs102.,
NM1630,,
NM204,,
NR222,rde-1(ne219) V; kzIs9.,
OE3035,daf-19(sa232) II.,
OE3063,daf-19(m86) II,
OH313,,
OH4134,,
OH7193,otIs181 III; him-8(e1489) IV.,
ON19,unc-60(su158),
OT182,,
PHX3195,flp-33(syb3195[flp-33::T2A::3xNLS::GFP]) I,
PJ1276,,
PR694,,
PR696,,
PR811,,
PS2627,,
PS8727,lgc-37(sy1492) III.,
PY1322,,
QW625,zfls42,
RB1021,,
RB1622,,
RB1631,,
RB1808,,
RB1914,,
RB688,K02A2.3(ok228) II,
RB705,cdd-2&pam-1(ok477) IV.,
RB743,,
RB765,,
RB839,,
RB889,,
RB901,nex-2(ok764) I.,
RB924,,
RB972,,
RM2702,,
RV110,,
SD1772,,
SD1778,daf-16(mu86) I; daf-2(e1370) III; stIs10161,
SP1372,,
TQ1607,,
TU3401,sid-1(pk3321) V; uIs69 V.,
VC125,,
VC1262,osm-9(ok1677) IV,
VC127,pkc-2(ok328) X,
