"imaging_files","direct_files","path"
"1778","0","L:\02_Duchenne Muscular Dystrophy\Adina\AVG60_day5Adult\240526_AVG60_day5_1"
"1481","5","L:\10_AGVG LAB\Confocal E drive backup\Jessica\220607JA\E isoform"
"1448","42","L:\05_Proprioception\Adina\PEZO-1 data for MANUSCRIPT\AVG60 RNAi pezo-1\240301_AVG60_L4440"
"1334","4","L:\10_AGVG LAB\Confocal E drive backup\Jessica\220602JA"
"1152","36","L:\05_Proprioception\Adina\PEZO-1 data for MANUSCRIPT\AVG60 RNAi pezo-1\240509_AVG60_pezo-1"
"1152","36","L:\05_Proprioception\Adina\PEZO-1 data for MANUSCRIPT\to upload\Figure 9\Figure 9D\240509_AVG60_pezo-1"
"1116","36","L:\05_Proprioception\Adina\PEZO-1 data for MANUSCRIPT\to upload_converted\Figure 9\Figure 9D\240509_AVG60_pezo-1"
"1106","0","L:\02_Duchenne Muscular Dystrophy\Raw Data\Eggs\old"
"1024","0","L:\05_Proprioception\Adina\PEZO-1 data for MANUSCRIPT\AVG60 RNAi pezo-1\240924_AVG60_RNAi_pezo-1"
"1024","32","L:\05_Proprioception\Adina\PEZO-1 data for MANUSCRIPT\AVG60 RNAi pezo-1\240315_AVG60_L4440"
"1024","0","L:\05_Proprioception\Adina\PEZO-1 data for MANUSCRIPT\to upload\Figure 9\Figure 9D\240924_AVG60_RNAi_pezo-1"
"1024","32","L:\05_Proprioception\Adina\PEZO-1 data for MANUSCRIPT\to upload\Figure 9\Figure 9D\240315_AVG60_L4440"
"992","32","L:\05_Proprioception\Adina\PEZO-1 data for MANUSCRIPT\to upload_converted\Figure 9\Figure 9D\240315_AVG60_L4440"
"974","0","L:\02_Duchenne Muscular Dystrophy\Adina\Inverted scope"
"962","0","L:\05_Proprioception\Muscle growth paper"
"960","0","L:\05_Proprioception\Adina\PEZO-1 data for MANUSCRIPT\to upload_converted\Figure 9\Figure 9D\240924_AVG60_RNAi_pezo-1"
"942","0","L:\03_Magnetic Transduction\Aalimah\240815_MTX_intestine GFP"
"939","18","L:\02_Duchenne Muscular Dystrophy\Raw Data\Confocal images\2015_June\Andres 11-12-14 confocal"
"904","44","L:\02_Duchenne Muscular Dystrophy\Kiley\Raw data\Confocal\PNAS paper_100x health\171015_HKK5_CD5"
"904","44","L:\02_Duchenne Muscular Dystrophy\Manuscripts\JPS518 paper\data PNAS\100x health\171015_HKK5_CD5"
"896","28","L:\05_Proprioception\Adina\PEZO-1 data for MANUSCRIPT\AVG60 RNAi pezo-1\240509_AVG60_L4440_all tail"
"896","28","L:\05_Proprioception\Adina\PEZO-1 data for MANUSCRIPT\to upload\Figure 9\Figure 9D\240509_AVG60_L4440"
"868","28","L:\05_Proprioception\Adina\PEZO-1 data for MANUSCRIPT\to upload_converted\Figure 9\Figure 9D\240509_AVG60_L4440"
"835","0","L:\02_Duchenne Muscular Dystrophy\Danny\1_Skeletal muscle cells\PMCA\Caloxin 1b1 myoblasts"
"832","26","L:\05_Proprioception\Adina\PEZO-1 data for MANUSCRIPT\AVG60 RNAi pezo-1\240315_AVG60_pezo-1"
"832","26","L:\05_Proprioception\Adina\PEZO-1 data for MANUSCRIPT\to upload\Figure 9\Figure 9D\240315_AVG60_pezo-1"
"806","26","L:\05_Proprioception\Adina\PEZO-1 data for MANUSCRIPT\to upload_converted\Figure 9\Figure 9D\240315_AVG60_pezo-1"
"747","0","L:\05_Proprioception\Muscle growth paper\Muscle images"
"704","22","L:\05_Proprioception\Adina\PEZO-1 data for MANUSCRIPT\AVG60 RNAi pezo-1\240314_AVG60_L4440"
"704","22","L:\05_Proprioception\Adina\PEZO-1 data for MANUSCRIPT\to upload\Figure 9\Figure 9D\240314_AVG60_L4440"
"703","3","L:\05_Proprioception\Adina\PEZO-1 data for MANUSCRIPT\pezo-1 quant vm21 vs vm20 AND RNAi dys-1"
"696","0","L:\03_Magnetic Transduction\Aalimah\mars data for parallel experiment\Mars vs Earth GFP"
"682","0","L:\02_Duchenne Muscular Dystrophy\Adina\AVG60 larva 1\240521_AVG60_L1"
"682","22","L:\05_Proprioception\Adina\PEZO-1 data for MANUSCRIPT\to upload_converted\Figure 9\Figure 9D\240314_AVG60_L4440"
"640","20","L:\05_Proprioception\Adina\PEZO-1 data for MANUSCRIPT\AVG60 RNAi pezo-1\240314_AVG60_pezo-1"
"640","20","L:\05_Proprioception\Adina\PEZO-1 data for MANUSCRIPT\to upload\Figure 9\Figure 9D\240314_AVG60_pezo-1"
"632","0","L:\02_Duchenne Muscular Dystrophy\Raw Data\Eggs\old\AVG6"
"620","20","L:\05_Proprioception\Adina\PEZO-1 data for MANUSCRIPT\to upload_converted\Figure 9\Figure 9D\240314_AVG60_pezo-1"
"616","0","L:\05_Proprioception\Adina\PEZO-1 data for MANUSCRIPT\to upload\Figure 2\Muscles\GFP"
"610","29","L:\02_Duchenne Muscular Dystrophy\Adina\AVG60 crawl burrow swim\230224_AVG60_swim"
"576","0","L:\05_Proprioception\Adina\PEZO-1 data for MANUSCRIPT\to upload_converted\Figure 2\Muscles\GFP"
"558","0","L:\05_Proprioception\Adina\PEZO-1 data for MANUSCRIPT\to upload\Figure 2\Muscles\GFP\240906"
"553","0","L:\02_Duchenne Muscular Dystrophy\Danny\3_C. elegans\1_PMCA paper\mca2 L1 brightness"
"536","0","L:\02_Duchenne Muscular Dystrophy\Adina\AVG60 crawl burrow swim\AVG60\230227_AVG60"
"524","0","L:\05_Proprioception\Adina\PEZO-1 data for MANUSCRIPT\to upload_converted\Figure 2\Muscles\GFP\240906"
"506","0","L:\02_Duchenne Muscular Dystrophy\Raw Data\Eggs\Test"
"504","16","L:\02_Duchenne Muscular Dystrophy\Adina\RNAi AVG60\RNAi dys-1\230523_AVG60_L4440"
"502","0","L:\05_Proprioception\Adina\PEZO-1 data for MANUSCRIPT\pezo-1 quant vm21 vs vm20 AND RNAi dys-1\DONE"
